RPTG_PRD_ENDT,FULLY_FAVORABLE,JUDGE,HEARING_OFFICE,PARTIALLY_FAVORABLE,REGION,TOTAL_ALJ_DIPOSITIONS_ACROSS_ALL_OFFICES,TOTAL_AWARDS,TOTAL_DECISIONS,TOTAL_DENIALS,TOTAL_DISPOSITIONS,RPTG_PRD_STDT,Primary
04/26/2024,133.0,"Abbondondelo, Mary",SHREVEPORT,7.0,6.0,188.0,140.0,166.0,26.0,188.0,09/30/2023,"Abbondondelo, Mary-SHREVEPORT-04/26/2024"
04/26/2024,68.0,"Able, Devona",ALEXANDRIA,31.0,6.0,277.0,99.0,243.0,144.0,277.0,09/30/2023,"Able, Devona-ALEXANDRIA-04/26/2024"
04/26/2024,76.0,"Adamo, Genevieve",CLEVELAND,33.0,5.0,231.0,109.0,210.0,101.0,231.0,09/30/2023,"Adamo, Genevieve-CLEVELAND-04/26/2024"
04/26/2024,89.0,"Adams, Rebecca",FAYETTEVILLE NC,17.0,4.0,253.0,106.0,211.0,105.0,253.0,09/30/2023,"Adams, Rebecca-FAYETTEVILLE NC-04/26/2024"
04/26/2024,143.0,"Addison, Andrea",JERSEY CITY,24.0,2.0,221.0,167.0,185.0,18.0,221.0,09/30/2023,"Addison, Andrea-JERSEY CITY-04/26/2024"
04/26/2024,73.0,"Adkins, Stuart",DAYTON,13.0,5.0,145.0,86.0,126.0,40.0,145.0,09/30/2023,"Adkins, Stuart-DAYTON-04/26/2024"
04/26/2024,31.0,"Akers, Janet",ORLAND PARK,12.0,5.0,125.0,43.0,103.0,60.0,125.0,09/30/2023,"Akers, Janet-ORLAND PARK-04/26/2024"
04/26/2024,67.0,"Akins, George M",MONTGOMERY,1.0,4.0,104.0,68.0,95.0,27.0,104.0,09/30/2023,"Akins, George M-MONTGOMERY-04/26/2024"
04/26/2024,78.0,"Alaga-Gadigian, Janet L",OAK PARK,22.0,5.0,170.0,100.0,148.0,48.0,170.0,09/30/2023,"Alaga-Gadigian, Janet L-OAK PARK-04/26/2024"
04/26/2024,55.0,"Alden, Randolph W",SPECIAL REVIEW CADRE,23.0,12.0,167.0,78.0,131.0,53.0,167.0,09/30/2023,"Alden, Randolph W-SPECIAL REVIEW CADRE-04/26/2024"
04/26/2024,99.0,"Alderisio, James P",ST PETERSBURG FL OHO,15.0,4.0,223.0,114.0,194.0,80.0,223.0,09/30/2023,"Alderisio, James P-ST PETERSBURG FL OHO-04/26/2024"
04/26/2024,31.0,"Alegre, Dante M",PHOENIX DOWNTOWN,8.0,9.0,204.0,39.0,157.0,118.0,204.0,09/30/2023,"Alegre, Dante M-PHOENIX DOWNTOWN-04/26/2024"
04/26/2024,34.0,"Aletta, John",HARTFORD,13.0,1.0,203.0,47.0,177.0,130.0,203.0,09/30/2023,"Aletta, John-HARTFORD-04/26/2024"
04/26/2024,49.0,"Alexander, Kevin T",LITTLE ROCK,11.0,6.0,209.0,60.0,170.0,110.0,209.0,09/30/2023,"Alexander, Kevin T-LITTLE ROCK-04/26/2024"
04/26/2024,89.0,"Alger, Ryan A",HARTFORD,14.0,1.0,172.0,103.0,142.0,39.0,172.0,09/30/2023,"Alger, Ryan A-HARTFORD-04/26/2024"
04/26/2024,0.0,"Aliberti, Louis",AKRON OH,0.0,5.0,233.0,0.0,1.0,1.0,1.0,09/30/2023,"Aliberti, Louis-AKRON OH-04/26/2024"
04/26/2024,115.0,"Aliberti, Louis",CLEVELAND,17.0,5.0,233.0,132.0,205.0,73.0,232.0,09/30/2023,"Aliberti, Louis-CLEVELAND-04/26/2024"
04/26/2024,119.0,"Alis, E.",OAKLAND,33.0,9.0,261.0,152.0,214.0,62.0,261.0,09/30/2023,"Alis, E.-OAKLAND-04/26/2024"
04/26/2024,39.0,"Allard, Sharon",NEWARK,21.0,2.0,136.0,60.0,111.0,51.0,136.0,09/30/2023,"Allard, Sharon-NEWARK-04/26/2024"
04/26/2024,82.0,"Allen, Chandreka",ST LOUIS,12.0,7.0,164.0,94.0,137.0,43.0,164.0,09/30/2023,"Allen, Chandreka-ST LOUIS-04/26/2024"
04/26/2024,66.0,"Allen, Matthew",SAN ANTONIO,26.0,6.0,248.0,92.0,214.0,122.0,248.0,09/30/2023,"Allen, Matthew-SAN ANTONIO-04/26/2024"
04/26/2024,0.0,"Allen, Michelle I",BRONX,0.0,2.0,110.0,0.0,1.0,1.0,1.0,09/30/2023,"Allen, Michelle I-BRONX-04/26/2024"
04/26/2024,3.0,"Allen, Michelle I",LONG ISLAND,0.0,2.0,110.0,3.0,4.0,1.0,5.0,09/30/2023,"Allen, Michelle I-LONG ISLAND-04/26/2024"
04/26/2024,50.0,"Allen, Michelle I",QUEENS,9.0,2.0,110.0,59.0,81.0,22.0,104.0,09/30/2023,"Allen, Michelle I-QUEENS-04/26/2024"
04/26/2024,118.0,"Allen, Noell F",INDIANAPOLIS,29.0,5.0,260.0,147.0,227.0,80.0,260.0,09/30/2023,"Allen, Noell F-INDIANAPOLIS-04/26/2024"
04/26/2024,27.0,"Alonso, Sylvia H",FT LAUDERDALE,5.0,4.0,226.0,32.0,183.0,151.0,226.0,09/30/2023,"Alonso, Sylvia H-FT LAUDERDALE-04/26/2024"
04/26/2024,137.0,"Ambrose, Christopher",LANSING,10.0,5.0,221.0,147.0,203.0,56.0,221.0,09/30/2023,"Ambrose, Christopher-LANSING-04/26/2024"
04/26/2024,0.0,"Ambuehl, Christel",DENVER,1.0,8.0,176.0,1.0,1.0,0.0,1.0,09/30/2023,"Ambuehl, Christel-DENVER-04/26/2024"
04/26/2024,51.0,"Ambuehl, Christel",FARGO,15.0,8.0,176.0,66.0,120.0,54.0,175.0,09/30/2023,"Ambuehl, Christel-FARGO-04/26/2024"
04/26/2024,127.0,"Andersen, William",RALEIGH,3.0,4.0,206.0,130.0,179.0,49.0,206.0,09/30/2023,"Andersen, William-RALEIGH-04/26/2024"
04/26/2024,74.0,"Anderson, Monica J",NEW ORLEANS,20.0,6.0,232.0,94.0,193.0,99.0,232.0,09/30/2023,"Anderson, Monica J-NEW ORLEANS-04/26/2024"
04/26/2024,111.0,"Andreas, Frederick",CLEVELAND,11.0,5.0,245.0,122.0,206.0,84.0,245.0,09/30/2023,"Andreas, Frederick-CLEVELAND-04/26/2024"
04/26/2024,114.0,"Andrews - Turner, Renee S",NASHVILLE,29.0,4.0,217.0,143.0,187.0,44.0,217.0,09/30/2023,"Andrews - Turner, Renee S-NASHVILLE-04/26/2024"
04/26/2024,122.0,"Andrews, Tom",DES MOINES,23.0,7.0,225.0,145.0,202.0,57.0,225.0,09/30/2023,"Andrews, Tom-DES MOINES-04/26/2024"
04/26/2024,10.0,"Anschuetz, Eric",FORT MYERS FL,2.0,4.0,107.0,12.0,20.0,8.0,22.0,09/30/2023,"Anschuetz, Eric-FORT MYERS FL-04/26/2024"
04/26/2024,37.0,"Anschuetz, Eric",LOUISVILLE,2.0,4.0,107.0,39.0,74.0,35.0,85.0,09/30/2023,"Anschuetz, Eric-LOUISVILLE-04/26/2024"
04/26/2024,68.0,"Antonowicz, John",SHREVEPORT,13.0,6.0,188.0,81.0,159.0,78.0,188.0,09/30/2023,"Antonowicz, John-SHREVEPORT-04/26/2024"
04/26/2024,95.0,"Appleton, Stacy",COLUMBUS,13.0,5.0,273.0,108.0,230.0,122.0,273.0,09/30/2023,"Appleton, Stacy-COLUMBUS-04/26/2024"
04/26/2024,61.0,"Aranda, Clara H",MIAMI OHO,7.0,4.0,145.0,68.0,122.0,54.0,145.0,09/30/2023,"Aranda, Clara H-MIAMI OHO-04/26/2024"
04/26/2024,124.0,"Armbruster, Ted W",PHOENIX NORTH,6.0,9.0,237.0,130.0,180.0,50.0,237.0,09/30/2023,"Armbruster, Ted W-PHOENIX NORTH-04/26/2024"
04/26/2024,89.0,"Arno, Josephine",MORENO VALLEY,27.0,9.0,232.0,116.0,185.0,69.0,232.0,09/30/2023,"Arno, Josephine-MORENO VALLEY-04/26/2024"
04/26/2024,98.0,"Ashford, Earl",TOLEDO OH,25.0,5.0,249.0,123.0,208.0,85.0,249.0,09/30/2023,"Ashford, Earl-TOLEDO OH-04/26/2024"
04/26/2024,146.0,"Asseff, Brent T",CHARLOTTE,13.0,4.0,214.0,159.0,181.0,22.0,214.0,09/30/2023,"Asseff, Brent T-CHARLOTTE-04/26/2024"
04/26/2024,35.0,"Atchison, Paula F",PHOENIX DOWNTOWN,8.0,9.0,115.0,43.0,93.0,50.0,115.0,09/30/2023,"Atchison, Paula F-PHOENIX DOWNTOWN-04/26/2024"
04/26/2024,84.0,"Ayer, F. H",WASHINGTON,16.0,3.0,221.0,100.0,181.0,81.0,221.0,09/30/2023,"Ayer, F. H-WASHINGTON-04/26/2024"
