HEARING_OFFICE,AVG_Ptime_RANK,HEARING_OFFICE_TIMES_IN_MONTHS,HO_CODE,SITE_CODE,RPTG_PRD_ENDT,ALJ_DISPS_PER_DAY_PER_ALJ,DISP_RANK,WORKDAYS,AVERAGE_PROCESSING_TIME,CASES_PENDING,DISPOSITIONS,RECEIPTS,RPTG_PRD_STDT
TUPELO,2.0,7.0,5245.0,Y49,04/26/2024,1.39,121.0,143.0,241.0,823.0,947.0,949.0,09/30/2023
EVANSVILLE,3.0,7.0,5119.0,X84,04/26/2024,1.8,35.0,143.0,246.0,1100.0,1424.0,1245.0,09/30/2023
HOUSTON NORTH,4.0,7.0,5255.0,R38,04/26/2024,1.81,34.0,143.0,249.0,2439.0,2459.0,2451.0,09/30/2023
AKRON OH,4.0,7.0,5380.0,T1P,04/26/2024,1.95,14.0,143.0,249.0,2177.0,2057.0,2024.0,09/30/2023
GRAND RAPIDS,6.0,6.0,5202.0,Y28,04/26/2024,2.02,11.0,143.0,251.0,1613.0,1658.0,1656.0,09/30/2023
KINGSPORT,7.0,6.0,5138.0,T23,04/26/2024,1.72,49.0,143.0,252.0,1458.0,1728.0,1204.0,09/30/2023
NASHVILLE,8.0,7.0,5044.0,Y14,04/26/2024,1.52,96.0,143.0,253.0,1223.0,1271.0,1061.0,09/30/2023
TOPEKA KS,8.0,7.0,5389.0,T1M,04/26/2024,1.6,72.0,143.0,253.0,552.0,628.0,449.0,09/30/2023
RIO GRANDE VALLEY TX,10.0,8.0,5374.0,T1Y,04/26/2024,1.85,26.0,143.0,256.0,1049.0,793.0,976.0,09/30/2023
FRANKLIN TN,10.0,7.0,5383.0,T2H,04/26/2024,1.3,145.0,143.0,256.0,1719.0,1950.0,1618.0,09/30/2023
PADUCAH,12.0,6.0,5140.0,Y23,04/26/2024,1.96,12.0,143.0,259.0,1171.0,982.0,947.0,09/30/2023
MONTGOMERY,13.0,5.5,5139.0,X42,04/26/2024,1.56,85.0,143.0,261.0,1571.0,1577.0,1411.0,09/30/2023
TALLAHASSEE FL OHO,14.0,7.0,5390.0,T1J,04/26/2024,1.39,121.0,143.0,263.0,969.0,1144.0,983.0,09/30/2023
JACKSON MS OHO,15.0,8.0,5041.0,Y19,04/26/2024,1.38,126.0,143.0,264.0,641.0,934.0,553.0,09/30/2023
FORT WAYNE,15.0,6.5,5121.0,X53,04/26/2024,1.87,21.0,143.0,264.0,978.0,1270.0,1073.0,09/30/2023
ST PETERSBURG FL OHO,17.0,8.0,5372.0,T1K,04/26/2024,1.44,109.0,143.0,265.0,1119.0,1339.0,1027.0,09/30/2023
FLORENCE,18.0,6.0,5115.0,X50,04/26/2024,0.97,162.0,143.0,268.0,1037.0,1059.0,1025.0,09/30/2023
GREENVILLE,19.0,7.0,5048.0,X48,04/26/2024,1.24,152.0,143.0,271.0,1236.0,1599.0,1245.0,09/30/2023
OAK PARK,19.0,7.0,5141.0,X54,04/26/2024,1.34,137.0,143.0,271.0,2363.0,2014.0,2448.0,09/30/2023
LANSING,21.0,7.0,5095.0,X52,04/26/2024,1.76,42.0,143.0,272.0,1328.0,1446.0,1342.0,09/30/2023
COLUMBIA SC,22.0,6.0,5046.0,T22,04/26/2024,1.5,98.0,143.0,274.0,1522.0,2135.0,1460.0,09/30/2023
MOBILE,23.0,6.0,5050.0,X78,04/26/2024,1.16,155.0,143.0,278.0,1985.0,1821.0,1755.0,09/30/2023
CLEVELAND,23.0,7.0,5057.0,X85,04/26/2024,1.73,47.0,143.0,278.0,2830.0,2837.0,2794.0,09/30/2023
MADISON,23.0,7.5,5189.0,R30,04/26/2024,1.68,58.0,143.0,278.0,1807.0,1347.0,1320.0,09/30/2023
HATTIESBURG,26.0,7.0,5137.0,X79,04/26/2024,1.24,152.0,143.0,281.0,1541.0,1686.0,1625.0,09/30/2023
PROVIDENCE,27.0,8.0,5105.0,Y04,04/26/2024,1.79,37.0,143.0,282.0,1322.0,1440.0,1183.0,09/30/2023
PEORIA,28.0,7.0,5122.0,X11,04/26/2024,1.92,17.0,143.0,283.0,1203.0,1134.0,931.0,09/30/2023
LIVONIA MI,28.0,7.0,5398.0,T1Q,04/26/2024,1.86,23.0,143.0,283.0,1907.0,1799.0,1659.0,09/30/2023
TOLEDO OH,30.0,8.0,5387.0,T1X,04/26/2024,1.66,61.0,143.0,284.0,1990.0,1536.0,1606.0,09/30/2023
VALPARAISO IN,31.0,7.5,5365.0,T1W,04/26/2024,1.79,37.0,143.0,285.0,1310.0,1191.0,1037.0,09/30/2023
